Starting data collection...
Saved - Temp: 79.5F  Humidity: 55.0%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 55.1%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 55.3%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 55.3%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 55.5%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 55.5%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 55.6%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 55.6%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 55.6%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 55.8%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 55.8%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 55.9%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 55.9%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 55.9%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 55.9%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 55.8%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 56.0%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 56.1%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 56.5%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 57.1%  Air Quality: 0.31V
Saved - Temp: 79.9F  Humidity: 57.8%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 58.3%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 58.7%  Air Quality: 0.31V
Saved - Temp: 79.7F  Humidity: 59.1%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 59.5%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 59.9%  Air Quality: 0.31V
Saved - Temp: 79.5F  Humidity: 60.1%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 60.5%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 60.9%  Air Quality: 0.31V
Saved - Temp: 79.3F  Humidity: 61.2%  Air Quality: 0.31V
Reading error: Checksum did not validate. Try again.
Saved - Temp: 79.2F  Humidity: 61.6%  Air Quality: 0.31V
Saved - Temp: 79.2F  Humidity: 61.9%  Air Quality: 0.31V
Saved - Temp: 79.2F  Humidity: 61.9%  Air Quality: 0.31V
Saved - Temp: 79.0F  Humidity: 62.1%  Air Quality: 0.31V
Saved - Temp: 79.0F  Humidity: 62.4%  Air Quality: 0.31V
Saved - Temp: 79.0F  Humidity: 62.5%  Air Quality: 0.31V
Saved - Temp: 79.0F  Humidity: 62.7%  Air Quality: 0.31V
Saved - Temp: 79.0F  Humidity: 62.6%  Air Quality: 0.31V
Saved - Temp: 78.8F  Humidity: 62.4%  Air Quality: 0.31V
Saved - Temp: 78.8F  Humidity: 62.4%  Air Quality: 0.31V
Saved - Temp: 78.8F  Humidity: 62.4%  Air Quality: 0.32V
Saved - Temp: 79.0F  Humidity: 62.2%  Air Quality: 0.32V
Saved - Temp: 79.2F  Humidity: 62.2%  Air Quality: 0.32V
Saved - Temp: 79.3F  Humidity: 62.1%  Air Quality: 0.32V
Saved - Temp: 79.3F  Humidity: 62.0%  Air Quality: 0.32V
Saved - Temp: 79.3F  Humidity: 62.0%  Air Quality: 0.32V
Saved - Temp: 79.5F  Humidity: 62.0%  Air Quality: 0.32V
Saved - Temp: 79.5F  Humidity: 62.0%  Air Quality: 0.32V
Saved - Temp: 79.5F  Humidity: 61.9%  Air Quality: 0.32V
Saved - Temp: 79.7F  Humidity: 61.9%  Air Quality: 0.33V
Saved - Temp: 79.7F  Humidity: 62.4%  Air Quality: 0.33V
Saved - Temp: 79.7F  Humidity: 63.2%  Air Quality: 0.33V
Saved - Temp: 79.9F  Humidity: 62.9%  Air Quality: 0.33V
Saved - Temp: 79.7F  Humidity: 62.8%  Air Quality: 0.33V
Saved - Temp: 79.7F  Humidity: 62.6%  Air Quality: 0.33V
Saved - Temp: 79.7F  Humidity: 62.6%  Air Quality: 0.34V
Saved - Temp: 79.9F  Humidity: 63.0%  Air Quality: 0.34V
Saved - Temp: 79.9F  Humidity: 64.4%  Air Quality: 0.34V
Saved - Temp: 79.9F  Humidity: 64.6%  Air Quality: 0.34V
Saved - Temp: 79.9F  Humidity: 64.2%  Air Quality: 0.34V
Saved - Temp: 79.9F  Humidity: 64.1%  Air Quality: 0.34V
Saved - Temp: 79.9F  Humidity: 63.9%  Air Quality: 0.34V
Saved - Temp: 79.9F  Humidity: 63.6%  Air Quality: 0.34V
Saved - Temp: 79.9F  Humidity: 63.5%  Air Quality: 0.34V
Saved - Temp: 79.9F  Humidity: 63.3%  Air Quality: 0.34V
Saved - Temp: 79.9F  Humidity: 63.0%  Air Quality: 0.33V
Saved - Temp: 79.9F  Humidity: 62.5%  Air Quality: 0.33V
Saved - Temp: 79.9F  Humidity: 62.4%  Air Quality: 0.33V
Saved - Temp: 79.7F  Humidity: 61.9%  Air Quality: 0.33V
Saved - Temp: 79.5F  Humidity: 61.5%  Air Quality: 0.33V
Saved - Temp: 79.5F  Humidity: 61.2%  Air Quality: 0.33V
Saved - Temp: 79.3F  Humidity: 60.8%  Air Quality: 0.32V
Saved - Temp: 79.2F  Humidity: 60.2%  Air Quality: 0.32V
Saved - Temp: 79.0F  Humidity: 59.6%  Air Quality: 0.32V
Saved - Temp: 79.0F  Humidity: 59.2%  Air Quality: 0.31V
Saved - Temp: 78.8F  Humidity: 58.9%  Air Quality: 0.31V
Saved - Temp: 78.8F  Humidity: 58.5%  Air Quality: 0.31V
Saved - Temp: 78.6F  Humidity: 58.4%  Air Quality: 0.31V
Saved - Temp: 78.6F  Humidity: 58.2%  Air Quality: 0.31V
Saved - Temp: 78.6F  Humidity: 58.0%  Air Quality: 0.31V
Saved - Temp: 78.4F  Humidity: 57.7%  Air Quality: 0.31V
Saved - Temp: 78.3F  Humidity: 57.5%  Air Quality: 0.30V
Saved - Temp: 78.3F  Humidity: 57.4%  Air Quality: 0.30V
Saved - Temp: 78.3F  Humidity: 57.2%  Air Quality: 0.30V
